Rank,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
"1,280",DRO,Droneshield Ltd,$0.11,-0.005,-4.35%,$27.77 M,-29.03%
"1,113",DRUG,Betashares Global Healthcare ETF - Currency Hedged,$6.48,-0.11,-1.67%,$40.25 M,7.29%
"1,449",DRX,Diatreme Resources Ltd,$0.01,0,0.00%,$18.55 M,-28.57%
"1,112",DSE,Dropsuite Ltd,$0.07,-0.007,-8.86%,$40.46 M,140.00%
552,DTC,Damstra Holdings Ltd,$1.41,0.01,0.72%,$195.97 M,14.23%
"1,751",DTI,DTI Group Ltd,$0.03,0,0.00%,$8.37 M,-16.67%
263,DTL,Data#3 Ltd,$5.48,0.11,2.05%,$843.78 M,119.20%
"1,573",DTM,Dart Mining NL,$0.18,-0.01,-5.26%,$13.49 M,80.00%
"1,492",DTR,Dateline Resources Ltd,$0.00,0,0.00%,$16.42 M,0.00%
"1,182",DTS,Dragontail Systems Ltd,$0.14,0.005,3.70%,$34.84 M,-12.50%
"1,152",DTZ,DOTZ Nano Ltd,$0.12,0.02,20.00%,$37.73 M,51.90%
491,DUB,Dubber Corporation Ltd,$1.23,-0.01,-0.81%,$255.50 M,-1.99%
256,DUI,Diversified United Investment Ltd,$4.25,0.02,0.47%,$900.55 M,-5.97%
"1,854",DVL,Dorsavi Ltd,$0.03,0,0.00%,$6.25 M,-46.00%
"1,582",DVN,Devine Ltd,$0.08,0,0.00%,$13.33 M,-37.78%
"1,294",DW8,Digital Wine Ventures Ltd,$0.02,0,0.00%,$26.64 M,189.53%
716,DWS,DWS Ltd,$0.88,-0.015,-1.68%,$116.01 M,-27.87%
861,DXB,Dimerix Ltd,$0.38,0.025,7.04%,$75.14 M,216.67%
"1,200",DXN,DXN Ltd,$0.03,0.005,18.52%,$33.62 M,-25.76%
44,DXS,Dexus,$9.16,0.1,1.10%,$10.00 B,-32.55%
989,DYL,Deep Yellow Ltd,$0.22,-0.01,-4.35%,$53.87 M,-33.33%
"2,003",DZZF,Betashares Diversified Conservative Income ETF,$23.77,0,0.00%,$3.57 M,-5.03%
"1,119",E25,Element 25 Ltd,$0.41,-0.03,-6.90%,$39.84 M,125.00%
"2,170",E2E,Eon NRG Ltd,$0.00,0,0.00%,$769.89 TH,-80.00%
"1,356",E2M,E2 Metals Ltd,$0.18,0.01,6.06%,$22.96 M,-27.08%
611,EAF,Evans & Partners Asia Fund,$1.28,0.01,0.79%,$156.75 M,4.49%
654,EAI,Ellerston Asian Investments Ltd,$1.03,-0.005,-0.48%,$137.03 M,8.42%
"1,341",EAS,Easton Investments Ltd,$0.70,-0.02,-2.78%,$24.12 M,-23.08%
"1,913",EAX,Energy Action Ltd,$0.20,0,0.00%,$5.19 M,-48.72%
"1,206",EBG,Eumundi Group Ltd,$0.80,0,0.00%,$33.23 M,-20.00%
"1,539",EBND,Vaneck Emerging Inc Opportunities Active ETF (Managed Fund),$11.15,0.02,0.18%,$14.86 M,-7.55%
105,EBO,Ebos Group Ltd,$20.83,-0.34,-1.61%,$3.39 B,-7.42%
546,ECF,Elanor Commercial Property Fund,$1.00,0.005,0.50%,$204.40 M,-18.03%
"1,651",ECG,Ecargo Holdings Ltd,$0.02,0,0.00%,$11.07 M,-68.42%
"1,194",ECL,Excelsior Capital Ltd,$1.18,0,0.00%,$34.21 M,-1.67%
"1,402",ECP,ECP Emerging Growth Ltd,$1.13,0,0.00%,$20.61 M,15.98%
"1,988",ECS,ECS Botanics Holdings Ltd,$0.02,-0.001,-5.26%,$3.78 M,1700.00%
"1,706",ECT,Environmental Clean Technologies Ltd,$0.00,0,0.00%,$9.60 M,-77.78%
400,ECX,Eclipx Group Ltd,$1.23,-0.11,-8.24%,$391.56 M,-16.67%
693,ED1,Evans Dixon Ltd,$0.53,-0.005,-0.94%,$123.18 M,-36.36%
"1,143",EDC,Eildon Capital Group,$0.93,0,0.00%,$38.07 M,-9.27%
"1,034",EDE,Eden Innovations Ltd,$0.03,0.001,3.70%,$48.26 M,-52.54%
879,EEG,Empire Energy Group Ltd,$0.27,0,0.00%,$71.09 M,17.39%
"1,842",EER,East Energy Resources Ltd,$0.00,0,0.00%,$6.40 M,-50.00%
"1,672",EEU,Betashares Euro ETF,$15.54,-0.01,-0.06%,$10.33 M,-0.19%
"2,100",EFE,Eastern Iron Ltd,$0.01,0,0.00%,$2.06 M,25.00%
"1,264",EFF,Evans & Partners Australian Flagship Fund,$1.42,0,0.00%,$29.19 M,-13.42%
440,EGD,Evans & Partners Global Disruption Fund,$2.71,0.03,1.12%,$329.13 M,22.62%
578,EGF,Evans & Partners Global Flagship Fund,$1.47,-0.01,-0.68%,$176.17 M,-9.26%
697,EGG,Enero Group Ltd,$1.41,0.015,1.08%,$121.37 M,-9.62%
850,EGH,Eureka Group Holdings Ltd,$0.34,0.01,3.08%,$77.06 M,28.85%
728,EGI,Ellerston Global Investments Ltd,$1.05,-0.005,-0.47%,$110.57 M,10.53%
"1,848",EGL,Environmental Group Ltd (the),$0.03,0,0.00%,$6.31 M,-44.23%
638,EGN,Engenco Ltd,$0.46,0,0.00%,$144.16 M,-6.12%
"1,326",EGR,Ecograf Ltd,$0.07,0.001,1.49%,$24.75 M,-40.87%
"1,709",EGY,Energy Technologies Ltd,$0.09,0,0.00%,$9.52 M,-64.51%
399,EHE,Estia Health Ltd,$1.50,-0.05,-3.23%,$391.91 M,-45.65%
"1,005",EHH,Eagle Health Holdings Ltd,$0.14,0,0.00%,$51.61 M,-52.54%
433,EHL,Emeco Holdings Ltd,$0.91,-0.03,-3.21%,$333.54 M,-55.02%
"1,501",EHX,Ehr Resources Ltd,$0.09,-0.004,-4.12%,$16.24 M,173.53%
"1,386",EIGA,Einvest Income Generator Fund (Managed Fund),$3.16,-0.06,-1.86%,$21.40 M,-19.18%
"1,336",EINC,Betashares Legg Mason Equity Income Fund (Managed Fund),$7.25,0,0.00%,$24.35 M,-15.40%
183,ELD,Elders Ltd,$9.81,-0.04,-0.41%,$1.53 B,60.72%
"1,525",ELE,Elmore Ltd,$0.07,0,0.00%,$15.59 M,0.00%
335,ELO,Elmo Software Ltd,$6.57,-0.01,-0.15%,$562.78 M,-8.75%
"1,223",ELS,Elsight Ltd,$0.30,-0.015,-4.76%,$32.11 M,-31.03%
"1,603",ELT,Elementos Ltd,$0.01,0,0.00%,$12.74 M,0.00%
"1,490",EM1,Emerge Gaming Ltd,$0.03,-0.002,-7.41%,$16.43 M,4.17%
"1,473",EM2,Eagle Mountain Mining Ltd,$0.15,0,0.00%,$17.39 M,-3.23%
"1,384",EMB,Embelton Ltd,$10.00,0,0.00%,$21.58 M,-4.76%
"1,937",EMD,Emerald Clinics Ltd,$0.06,0,0.00%,$4.69 M,-61.38%
"1,284",EME,Energy Metals Ltd,$0.13,0.025,23.81%,$27.26 M,-3.70%
"1,224",EMH,European Metals Holdings Ltd,$0.29,0.01,3.57%,$32.04 M,-24.68%
"1,249",EMKT,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF,$18.99,-0.16,-0.84%,$30.39 M,-0.84%
213,EML,EML Payments Ltd,$3.35,-0.1,-2.90%,$1.21 B,8.70%
"1,655",EMMG,Betashares Legg Mason Emerging Markets Fund (Managed Fund),$5.93,0.1,1.72%,$10.91 M,8.21%
"1,982",EMN,Euro Manganese Inc,$0.07,0,0.00%,$3.91 M,-62.63%
"2,062",EMP,Emperor Energy Ltd,$0.03,0.002,8.00%,$2.69 M,-10.00%
449,EMR,Emerald Resources NL,$0.62,-0.01,-1.60%,$316.42 M,66.22%
"1,841",EMT,Emetals Ltd,$0.02,0,0.00%,$6.40 M,-20.00%
"1,864",EMU,EMU NL,$0.02,0.005,33.33%,$5.96 M,-48.25%
"2,130",EMUCA,EMU NL,$0.05,0,0.00%,$1.59 M,0.00%
843,EMV,Emvision Medical Devices Ltd,$1.67,0.01,0.60%,$78.63 M,307.32%
"1,915",EN1,Engage:BDR Ltd,$0.01,-0.001,-16.67%,$5.16 M,-87.18%
"1,641",ENA,Ensurance Ltd,$0.02,0,0.00%,$11.42 M,-9.09%
"2,047",ENB,Eneabba Gas Ltd,$0.01,0,0.00%,$2.89 M,0.00%
"2,001",ENE,Enevis Ltd,$0.04,0.001,2.86%,$3.60 M,-82.00%
680,ENN,Elanor Investors Group,$1.05,0.04,3.96%,$125.56 M,-43.55%
"1,061",ENR,Encounter Resources Ltd,$0.16,0,0.00%,$44.93 M,79.78%
"1,653",ENT,Enterprise Metals Ltd,$0.02,0.003,15.00%,$10.96 M,130.00%
"1,823",ENV,Enova Mining Ltd,$0.02,0,0.00%,$6.77 M,-42.86%
"2,151",ENX,Enegex Ltd,$0.02,0,0.00%,$1.29 M,77.78%
453,EOF,Ecofibre Ltd,$2.40,-0.06,-2.44%,$311.37 M,-30.44%
730,EOL,Energy One Ltd,$4.30,0.18,4.37%,$109.26 M,138.89%
262,EOS,Electro Optic Systems Holdings Ltd,$5.74,0.05,0.88%,$852.79 M,36.67%
951,EPD,Empired Ltd,$0.37,0.015,4.29%,$58.37 M,4.29%
"1,694",EPM,Eclipse Metals Ltd,$0.01,0,0.00%,$9.90 M,250.00%
"1,552",EQE,EQUUS Mining Ltd,$0.01,0,0.00%,$14.12 M,2.53%
347,EQT,EQT Holdings Ltd,$25.52,0.1,0.39%,$530.20 M,-14.51%
"1,181",EQX,Equatorial Resources Ltd,$0.28,0,0.00%,$34.84 M,-1.75%
324,ERA,Energy Resources of Australia Ltd,$0.17,0.005,3.13%,$609.08 M,3.25%
727,ERF,Elanor Retail Property Fund,$0.86,0,0.00%,$110.71 M,-28.93%
"1,496",ERG,Eneco Refresh Ltd,$0.06,0,0.00%,$16.34 M,-15.49%
"1,567",ERL,Empire Resources Ltd,$0.02,0.003,21.43%,$13.60 M,130.45%
"1,023",ERM,Emmerson Resources Ltd,$0.12,0.005,4.55%,$48.86 M,-4.17%
926,ERX,Exore Resources Ltd,$0.11,0,0.00%,$61.88 M,43.84%
"1,679",ESE,Esense-Lab Ltd,$0.02,0.002,11.11%,$10.20 M,-4.76%
"1,170",ESGI,Vaneck Vectors MSCI International Sustainable Equity ETF,$23.91,-0.19,-0.79%,$35.88 M,6.27%
"1,761",ESH,Esports Mogul Ltd,$0.00,0,0.00%,$8.17 M,-69.23%
779,ESK,Etherstack Plc,$0.80,-0.035,-4.19%,$96.13 M,263.64%
"1,935",ESL,Eco Systems Ltd,$0.07,0,0.00%,$4.73 M,0.00%
"1,899",ESR,Estrella Resources Ltd,$0.01,0,0.00%,$5.35 M,0.00%
"1,015",ESTX,ETFs Euro STOXX 50 ETF,$61.75,-1.38,-2.19%,$49.80 M,-6.65%
329,ETHI,Betashares Global Sustainability Leaders ETF,$9.75,-0.07,-0.71%,$592.83 M,11.17%
759,ETPMAG,ETFs Group,$25.47,-0.17,-0.66%,$102.05 M,22.28%
"1,936",ETPMPD,ETFs Group,$262.57,0,0.00%,$4.72 M,23.27%
"1,625",ETPMPM,ETFs Group,$195.48,0.39,0.20%,$12.02 M,23.43%
"1,888",ETPMPT,ETFs Group,$117.91,0,0.00%,$5.52 M,6.61%
"1,274",EUC,European Cobalt Ltd,$0.04,-0.001,-2.63%,$28.18 M,117.65%
"1,266",EUR,European Lithium Ltd,$0.04,0.002,4.76%,$29.14 M,-48.24%
"1,365",EVE,EVE Investments Ltd,$0.01,0,0.00%,$22.36 M,20.00%
42,EVN,Evolution Mining Ltd,$6.13,-0.19,-3.01%,$10.45 B,38.38%
726,EVO,Evolve Education Group Ltd,$0.10,-0.006,-5.71%,$110.74 M,-20.80%
590,EVS,Envirosuite Ltd,$0.17,0.005,3.13%,$169.07 M,37.50%
201,EVT,Event Hospitality and Entertainment Ltd,$8.30,-0.17,-2.01%,$1.34 B,-33.60%
"1,813",EVZ,EVZ Ltd,$0.07,0,0.00%,$7.02 M,-59.44%
742,EWC,Energy World Corporation Ltd,$0.06,0,0.00%,$107.74 M,-17.81%
"1,481",EX1,Exopharm Ltd,$0.28,0,0.00%,$16.75 M,-33.33%
737,EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF,$16.36,-0.24,-1.45%,$108.33 M,-11.62%
"1,198",EXL,Elixinol Global Ltd,$0.18,-0.005,-2.78%,$33.75 M,-95.34%
"2,006",EXO,ENNOX Group Ltd,$0.00,0,0.00%,$3.54 M,0.00%
953,EXP,Experience Co Ltd,$0.11,0,0.00%,$58.36 M,-58.00%
"1,251",EXR,Elixir Energy Ltd,$0.04,0.002,4.76%,$30.27 M,2.33%
775,EYE,Nova EYE Medical Ltd,$0.68,0,0.00%,$97.65 M,21.43%
586,EZL,EUROZ Ltd,$1.05,-0.01,-0.94%,$170.64 M,-13.22%
683,F100,Betashares Ftse 100 ETF,$8.27,-0.21,-2.48%,$124.89 M,-17.13%
356,FAIR,Betashares Australian Sustainability Leaders ETF,$17.10,-0.06,-0.35%,$502.95 M,-6.56%
"1,105",FANG,ETFs Fang+ ETF,$13.26,0.14,1.07%,$41.11 M,29.24%
729,FAR,FAR Ltd,$0.01,-0.001,-8.33%,$109.77 M,-84.06%
"1,909",FAU,First Au Ltd,$0.01,-0.003,-17.65%,$5.23 M,-12.50%
606,FBR,FBR Ltd,$0.09,0.017,23.61%,$160.02 M,14.10%
124,FBU,Fletcher Building Ltd,$3.25,-0.06,-1.81%,$2.68 B,-33.40%
226,FCL,Fineos Corporation Holdings Plc,$3.92,0.01,0.26%,$1.07 B,45.19%
941,FCT,Firstwave Cloud Technology Ltd,$0.09,-0.002,-2.13%,$59.58 M,-58.09%
"1,632",FDM,Freedom Oil and Gas Ltd,$0.01,0,0.00%,$11.85 M,-60.71%
485,FDV,Frontier Digital Ventures Ltd,$1.03,0.005,0.49%,$263.34 M,42.36%
"2,066",FDX,Frontier Diamonds Ltd,$0.02,0,0.00%,$2.66 M,0.00%
"2,169",FE8,Faster Enterprises Ltd,$0.01,0,0.00%,$776.20 TH,-41.67%
"1,570",FEI,Fe Investments Group Ltd,$0.06,0,0.00%,$13.57 M,-36.84%
"1,872",FEL,Fe Ltd,$0.01,-0.001,-7.69%,$5.86 M,-25.00%
805,FEMX,Fidelity Global Emerging Markets Fund (Managed Fund),$5.43,-0.02,-0.37%,$89.05 M,5.44%
"1,377",FEX,FENIX Resources Ltd,$0.08,0.004,5.33%,$21.89 M,-9.20%
"1,811",FFC,Farmaforce Ltd,$0.06,0,0.00%,$7.08 M,-63.33%
"1,799",FFG,Fatfish Blockchain Ltd,$0.01,0,0.00%,$7.34 M,-35.71%
"1,012",FFI,FFI Holdings Ltd,$4.65,0,0.00%,$50.04 M,4.49%
"1,285",FFL,Founders First Ltd,$0.27,0,0.00%,$27.21 M,-44.90%
"1,895",FFR,Firefly Resources Ltd,$0.07,0.001,1.52%,$5.41 M,64.34%
364,FGG,Future Generation Global Investment Company Ltd,$1.19,-0.025,-2.07%,$465.06 M,-13.82%
"2,037",FGL,Frugl Group Ltd,$0.03,0,0.00%,$3.07 M,-38.00%
"2,157",FGO,Flamingo Ai Ltd,$0.00,0,0.00%,$1.12 M,-83.33%
934,FGR,First Graphene Ltd,$0.12,0,0.00%,$60.45 M,-50.00%
393,FGX,Future Generation Investment Company Ltd,$1.01,-0.005,-0.50%,$401.42 M,-14.83%
864,FHS,Freehill Mining Ltd,$0.05,0.004,8.51%,$74.26 M,200.00%
613,FID,Fiducian Group Ltd,$4.97,-0.01,-0.20%,$156.27 M,-15.62%
"1,932",FIG,Freedom Insurance Group Ltd,$0.02,0,0.00%,$4.79 M,0.00%
"1,901",FIJ,Fiji Kava Ltd,$0.07,-0.001,-1.39%,$5.34 M,-11.25%
"1,959",FIN,FIN Resources Ltd,$0.02,0,0.00%,$4.38 M,15.39%
636,FLC,Fluence Corporation Ltd,$0.24,0.035,17.50%,$146.84 M,-56.48%
465,FLN,Freelancer Ltd,$0.65,0.155,31.31%,$293.33 M,-30.48%
488,FLOT,Vaneck Vectors Australian Floating Rate ETF,$25.01,-0.01,-0.04%,$259.67 M,-0.52%
149,FLT,Flight Centre Travel Group Ltd,$10.54,-0.27,-2.50%,$2.10 B,-75.64%
9,FMG,Fortescue Metals Group Ltd,$14.85,-0.02,-0.13%,$45.72 B,69.33%
"1,029",FML,Focus Minerals Ltd,$0.27,0.015,6.00%,$48.43 M,0.00%
747,FMS,Flinders Mines Ltd,$0.03,0,0.00%,$105.53 M,-56.09%
264,FNP,Freedom Foods Group Ltd,$3.01,0,0.00%,$834.10 M,-39.92%
"1,871",FNT,Frontier Resources Ltd,$0.01,0,0.00%,$5.87 M,-25.00%
"1,129",FOD,The Food Revolution Group Ltd,$0.05,-0.001,-1.82%,$39.13 M,-34.15%
"1,499",FOOD,Betashares Global Agriculture ETF - Currency Hedged,$4.77,-0.08,-1.65%,$16.29 M,-16.32%
766,FOR,Forager Australian Shares Fund,$0.89,0.01,1.14%,$101.15 M,-27.64%
"1,079",FPC,Fat Prophets Global Contrarian Fund Ltd,$1.05,0.015,1.46%,$43.54 M,25.15%
19,FPH,Fisher & Paykel Healthcare Corporation Ltd,$33.50,0.4,1.21%,$19.26 B,121.12%
"1,662",FPL,Fremont Petroleum Corporation Ltd,$0.01,0.001,25.00%,$10.68 M,-44.44%
"1,511",FPP,Fat Prophets Global Property Fund,$0.70,-0.05,-6.67%,$15.94 M,-25.86%
569,FRI,Finbar Group Ltd,$0.68,-0.01,-1.45%,$185.04 M,-22.73%
"1,529",FRM,Farm Pride Foods Ltd,$0.28,-0.005,-1.75%,$15.45 M,27.27%
"1,403",FRN,Fraser Range Metals Group Ltd,$0.04,-0.003,-6.82%,$20.58 M,192.86%
"1,890",FRX,Flexiroam Ltd,$0.02,0,0.00%,$5.49 M,66.19%
735,FSA,FSA Group Ltd,$0.87,-0.045,-4.92%,$108.57 M,-16.35%
408,FSF,Fonterra Shareholders' Fund,$3.58,-0.02,-0.56%,$375.89 M,-4.02%
"1,344",FSG,Field Solutions Holdings Ltd,$0.05,0,0.00%,$23.87 M,114.29%
"1,054",FSI,Flagship Investments Ltd,$1.80,-0.045,-2.44%,$45.90 M,-0.55%
946,FTC,Fintech Chain Ltd,$0.09,-0.008,-8.08%,$59.22 M,-30.00%
"1,910",FTT,Factor Therapeutics Ltd,$0.01,0,0.00%,$5.21 M,66.67%
"1,647",FTZ,Fertoz Ltd,$0.07,0,0.00%,$11.27 M,-54.38%
661,FUEL,Betashares Global Energy Companies ETF - Currency Hedged,$3.37,-0.14,-3.99%,$132.81 M,-42.39%
"1,891",FUN,Funtastic Ltd,$0.02,0,0.00%,$5.49 M,-32.35%
604,FWD,Fleetwood Corporation Ltd,$1.70,0,0.00%,$160.84 M,-6.85%
357,FXL,Flexigroup Ltd,$1.27,0.01,0.79%,$500.88 M,-21.61%
"1,620",FYI,FYI Resources Ltd,$0.06,0.001,1.85%,$12.16 M,10.00%
798,FZO,Family ZONE Cyber Safety Ltd,$0.28,0.005,1.82%,$91.44 M,9.80%
"1,622",FZR,Fitzroy River Corporation Ltd,$0.14,0,0.00%,$12.09 M,-24.32%
792,G1A,Galena Mining Ltd,$0.23,0.005,2.22%,$92.74 M,-33.33%
"1,879",G88,Golden Mile Resources Ltd,$0.06,-0.009,-12.33%,$5.71 M,30.61%
"1,123",GAL,Galileo Mining Ltd,$0.28,0.01,3.77%,$39.35 M,96.43%
"1,047",GAP,Gale Pacific Ltd,$0.17,0,0.00%,$46.82 M,-46.03%
906,GAS,State GAS Ltd,$0.45,0.06,15.39%,$65.86 M,-37.50%
"1,884",GBE,Globe Metals & Mining Ltd,$0.01,0,0.00%,$5.59 M,-20.00%
"1,727",GBM,GBM Gold Ltd,$0.01,0,0.00%,$8.95 M,0.00%
994,GBND,Betashares Sustainability Leaders DVRSFD Bond ETF - Cur HDG,$25.58,0.03,0.12%,$53.21 M,1.95%
"1,919",GBR,Great Boulder Resources Ltd,$0.04,0,0.00%,$5.07 M,-28.57%
"1,351",GBZ,GBM Resources Ltd,$0.08,-0.009,-9.78%,$23.36 M,123.62%
"1,252",GC1,Glennon Small Companies Ltd,$0.69,-0.015,-2.14%,$30.08 M,-17.96%
406,GCI,Gryphon Capital Income Trust,$1.83,0.05,2.81%,$377.21 M,-9.96%
"2,111",GCR,Golden Cross Resources Ltd,$0.02,0,0.00%,$1.93 M,-40.63%
"1,128",GCY,Gascoyne Resources Ltd,$0.04,0,0.00%,$39.19 M,0.00%
524,GDF,Garda Property Group,$1.00,-0.02,-1.96%,$227.64 M,-30.80%
823,GDG,Generation Development Group Ltd,$0.66,0,0.00%,$82.93 M,53.49%
333,GDI,GDI Property Group,$1.06,-0.01,-0.94%,$572.93 M,-25.87%
458,GDX,Vaneck Vectors Gold Miners ETF,$55.29,-0.84,-1.50%,$300.95 M,45.73%
573,GEAR,Betashares Geared Australian Equity Fund (Hedge Fund),$17.45,-0.15,-0.85%,$180.77 M,-33.95%
"2,008",GED,Golden Deeps Ltd,$0.01,0,0.00%,$3.51 M,-65.52%
302,GEM,G8 Education Ltd,$0.83,-0.025,-2.92%,$694.46 M,-70.78%
"1,611",GES,Genesis Resources Ltd,$0.02,0,0.00%,$12.53 M,220.00%
"1,317",GEV,Global Energy Ventures Ltd,$0.07,0.005,8.33%,$25.14 M,-71.74%
"1,454",GFL,Global Masters Fund Ltd,$1.72,0,0.00%,$18.44 M,-7.03%
"2,137",GGE,Grand Gulf Energy Ltd,$0.00,0,0.00%,$1.54 M,0.00%
593,GGG,Greenland Minerals Ltd,$0.14,0,0.00%,$166.74 M,-9.68%
"2,108",GGOV,Betashares Global Government Bond 20+ Year ETF - Cur Hedged,$24.58,0,0.00%,$1.97 M,-1.52%
"1,084",GGUS,Betashares Geared US Equity Fund Currency Hedged (Hedgefund),$17.22,-0.49,-2.77%,$43.05 M,-7.62%
"2,148",GGX,GAS2GRID Ltd,$0.00,0,0.00%,$1.30 M,-66.67%
"1,731",GIB,Gibb River Diamonds Ltd,$0.05,0.007,16.67%,$8.77 M,22.50%
"1,892",GID,"Gi Dynamics, Inc",$0.00,0,0.00%,$5.48 M,-91.67%
"2,105",GLA,Gladiator Resources Ltd,$0.00,0,0.00%,$2.00 M,0.00%
"1,042",GLB,Globe International Ltd,$1.14,0.04,3.64%,$47.27 M,-29.63%
"1,796",GLE,GLG Corp Ltd,$0.10,0,0.00%,$7.41 M,-23.08%
"1,661",GLH,Global Health Ltd,$0.26,-0.025,-8.93%,$10.74 M,43.22%
"1,262",GLIN,AMP Capital Global Infr Sec Fund (Unhedged) (Managed Fund),$2.67,-0.05,-1.84%,$29.34 M,-18.85%
585,GLL,Galilee Energy Ltd,$0.63,0.01,1.61%,$171.01 M,-18.71%
"1,301",GLN,Galan Lithium Ltd,$0.15,0,0.00%,$26.13 M,-9.09%
"1,992",GLV,Global Oil & Gas Ltd,$0.01,0.002,16.67%,$3.65 M,16.67%
269,GMA,Genworth Mortgage Insurance Australia Ltd,$1.97,-0.055,-2.72%,$810.59 M,-33.62%
"1,298",GMC,Gulf Manganese Corporation Ltd,$0.01,0,0.00%,$26.24 M,0.00%
799,GMD,Genesis Minerals Ltd,$0.06,-0.001,-1.72%,$90.97 M,160.98%
"1,502",GME,GME Resources Ltd,$0.03,-0.007,-17.95%,$16.20 M,-34.51%
14,GMG,Goodman Group,$15.24,0.03,0.20%,$27.87 B,-1.74%
"1,311",GML,Gateway Mining Ltd,$0.02,0,0.00%,$25.45 M,58.33%
"1,045",GMN,Gold Mountain Ltd,$0.07,0.001,1.47%,$46.90 M,-6.76%
"1,434",GMR,Golden Rim Resources Ltd,$0.01,0,0.00%,$19.13 M,8.33%
"1,217",GMV,G Medical Innovations Holdings Ltd,$0.05,0,0.00%,$32.53 M,-76.67%
253,GNC,Graincorp Ltd,$4.00,-0.03,-0.74%,$915.42 M,5.54%
117,GNE,Genesis Energy Ltd,$2.72,-0.05,-1.81%,$2.82 B,-18.56%
669,GNG,GR Engineering Services Ltd,$0.84,0.005,0.60%,$129.07 M,-9.68%
"1,475",GNM,Great Northern Minerals Ltd,$0.02,0,0.00%,$17.33 M,140.00%
810,GNX,GENEX Power Ltd,$0.22,-0.005,-2.27%,$86.40 M,-17.31%
"1,929",GO2,The GO2 People Ltd,$0.03,-0.001,-2.86%,$4.85 M,-60.00%
199,GOLD,ETFs Metal Securities Australia Ltd,$243.10,-0.34,-0.14%,$1.37 B,26.75%
"1,746",GOO,Gooroo Ventures Ltd,$0.06,0,0.00%,$8.48 M,-9.52%
176,GOR,Gold Road Resources Ltd,$1.88,-0.01,-0.53%,$1.65 B,53.69%
"1,307",GOVT,SPDR S&P/ASX Australian Government Bond Fund,$28.40,-0.04,-0.14%,$25.78 M,2.20%
854,GOW,Gowing Bros Ltd,$1.42,0,0.00%,$76.32 M,-42.74%
130,GOZ,Growthpoint Properties Australia,$3.22,-0.06,-1.83%,$2.49 B,-25.81%
847,GPR,Geopacific Resources Ltd,$0.45,-0.01,-2.20%,$77.66 M,11.25%
"1,839",GPS,GPS Alliance Holdings Ltd,$0.06,0,0.00%,$6.49 M,10.00%
52,GPT,GPT Group,$4.16,0.03,0.73%,$8.10 B,-33.33%
"1,950",GPX,Graphex Mining Ltd,$0.04,0,0.00%,$4.49 M,-85.00%
962,GRB,Gage Roads Brewing Co Ltd,$0.05,-0.002,-3.85%,$57.03 M,-46.24%
"1,549",GRL,Godolphin Resources Ltd,$0.21,-0.005,-2.33%,$14.27 M,5.00%
985,GRNV,Vaneck Vectors MSCI Australian Sustainable Equity ETF,$23.42,-0.09,-0.38%,$54.49 M,-12.25%
"1,135",GROW,Schroder Real Return Fund (Managed Fund),$3.62,0,0.00%,$38.54 M,-1.90%
470,GRR,Grange Resources Ltd,$0.25,-0.005,-2.00%,$283.55 M,-14.04%
"2,064",GRV,Greenvale Energy Ltd,$0.02,0,0.00%,$2.68 M,9.69%
"1,426",GSM,Golden State Mining Ltd,$0.40,-0.04,-9.09%,$19.69 M,370.59%
912,GSN,Great Southern Mining Ltd,$0.16,-0.005,-3.03%,$65.30 M,332.43%
431,GSS,Genetic Signatures Ltd,$2.35,-0.15,-6.00%,$335.14 M,118.61%
678,GSW,Getswift Ltd,$0.66,-0.055,-7.75%,$125.87 M,235.90%
"1,753",GTE,Great Western Exploration Ltd,$0.09,0,0.00%,$8.34 M,-2.67%
"1,060",GTG,Genetic Technologies Ltd,$0.01,0,0.00%,$45.08 M,-8.16%
657,GTK,Gentrack Group Ltd,$1.36,0.005,0.37%,$134.16 M,-76.51%
816,GTN,GTN Ltd,$0.39,0.01,2.63%,$83.96 M,-57.14%
"1,517",GTR,Gti Resources Ltd,$0.03,-0.001,-3.33%,$15.80 M,70.15%
237,GUD,G.U.D. Holdings Ltd,$11.77,0.04,0.34%,$1.02 B,11.14%
"1,578",GUL,Gullewa Ltd,$0.09,0,0.00%,$13.40 M,174.19%
650,GVF,Global Value Fund Ltd,$0.95,0.01,1.07%,$139.70 M,-6.44%
313,GWA,GWA Group Ltd,$2.58,0.01,0.39%,$680.99 M,-26.71%
"1,464",GWR,GWR Group Ltd,$0.07,0,0.00%,$17.83 M,-50.00%
429,GXY,Galaxy Resources Ltd,$0.83,-0.005,-0.60%,$337.82 M,-35.29%
567,HACK,Betashares Global Cybersecurity ETF,$7.62,0.1,1.33%,$187.62 M,5.25%
686,HAS,Hastings Technology Metals Ltd,$0.12,0.005,4.35%,$124.13 M,-20.00%
"1,159",HAV,Havilah Resources Ltd,$0.14,0,0.00%,$36.58 M,-6.00%
"1,013",HAW,Hawthorn Resources Ltd,$0.15,0,0.00%,$50.03 M,158.62%
309,HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),$10.02,-0.01,-0.10%,$687.14 M,-2.34%
"1,686",HCD,Hydrocarbon Dynamics Ltd,$0.03,0,0.00%,$10.03 M,-30.95%
